epoch,train_loss,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score
0,8.531701547923962,6.421,0.013,0.007,0.013,0.004
1,8.147262774155516,6.201,0.019,0.015,0.019,0.008
2,8.054400753624755,6.144,0.022,0.016,0.022,0.009
3,8.027329226773583,6.277,0.019,0.016,0.019,0.007
4,7.982457733008992,6.456,0.019,0.012,0.019,0.007
5,7.95396344320366,7.321,0.005,0.005,0.005,0.002
6,7.899137183507252,6.433,0.021,0.02,0.021,0.01
7,7.8758692597995115,6.128,0.027,0.023,0.027,0.012
8,7.82375987090125,5.852,0.039,0.042,0.039,0.022
9,7.809386848402924,6.208,0.025,0.028,0.025,0.013
10,7.764361736502654,6.152,0.03,0.032,0.03,0.017
11,7.741575953700538,6.042,0.034,0.036,0.034,0.019
12,7.711267902737005,6.348,0.021,0.033,0.021,0.014
13,7.713649490208568,5.956,0.036,0.045,0.036,0.02
14,7.6659162632294,6.024,0.035,0.046,0.035,0.021
15,7.657277797042388,6.528,0.017,0.027,0.017,0.009
16,7.613058346994084,5.753,0.046,0.057,0.046,0.029
17,7.6090563593335725,5.833,0.043,0.053,0.043,0.027
18,7.572560767429979,6.219,0.029,0.037,0.029,0.017
19,7.555385032475727,5.72,0.049,0.066,0.049,0.031
20,7.520279350034459,6.443,0.02,0.028,0.02,0.011
21,7.50381227366895,6.114,0.034,0.044,0.034,0.02
